ADDRESS,PRINCIPAL DUE, 
1 SOLAR WAY ,2419.35, 
10 S 61ST ST ,10279.65, 
10 SOLAR WAY ,1249.72, 
10 WOLF ST ,0, 
100 ARCH ST 1C,16491.89, 
100 E PASTORIUS ST ,4787.91, 
100 PARKER AVE ,23953.5, 
1000 E CHELTEN AVE ,2681.6, 
1000 E WOODLAWN ST ,2751.24, 
1000 S 60TH ST ,291.12, 
1000 S BROAD ST ,0, 
1000 S FRAZIER ST ,11821.34, 
1000 W ERIE AVE ,1079.37, 
1000R SAINT VINCENT ST ,44017.64, 
1001 E ONTARIO ST ,0, 
1001 S 60TH ST ,9878.3, 
1001 S REESE ST ,901.94, 
1002 N 43RD ST ,2363.83, 
1002 S 11TH ST ,5337.7, 
1003 W ORLEANS ST ,823.23, 
1004 S PAXON ST ,6005.22, 
1006 CANTRELL ST ,4604.26, 
10075 SANDMEYER LN ,38531.18, 
101 N EDGEWOOD ST ,7215.23, 
101 W MONTGOMERY AVE ,1721.36, 
1010 RACE ST COM4,22590.27, 
10103 NORTHEAST BLV ,194.71, 
1011 PALLAS ST ,0, 
1011 W TIOGA ST ,4712.3, 
1013 W ERIE AVE ,6484.7, 
1014 PALLAS ST ,2485.09, 
1014 S 05TH ST ,16944.53, 
1014 W CLEARFIELD ST ,2172.96, 
1015 N AMERICAN ST ,10660.46, 
1015 S 50TH ST ,6244.13, 
1016 S REESE ST ,1393.47, 
1016 W TIOGA ST ,5954.98, 
1018 N 43RD ST ,2671.66, 
1018 S 18TH ST ,5259.35, 
1018 S ITHAN ST ,3466.28, 
1019 S FRAZIER ST ,9964.76, 
102 LINTON ST ,6988.56, 
102 N SALFORD ST ,5281.45, 
102 W ONTARIO ST ,2298.88, 
1020 N 43RD ST ,1922.67, 
1020 S 47TH ST ,2126.2, 
1020 S REESE ST ,204.17, 
1020R SANGER ST ,1838.07, 
1022 S PAXON ST ,2140.24, 
1023 W ERIE AVE ,31619.86, 
1024 S 52ND ST ,3292.49, 
1025 N 46TH ST ,7438.19, 
1025 W ORLEANS ST ,1874.22, 
1027 S 09TH ST ,23628.6, 
1027 S 50TH ST ,8851.17, 
1028 S 60TH ST ,1012.51, 
1029 LEMON ST ,12.27, 
1030 S ITHAN ST ,9137.22, 
1034 SPRUCE ST 102,1483.9, 
1035 S PAXON ST ,1409.79, 
1035 W ORLEANS ST ,695.22, 
1036 W ORLEANS ST ,1384.47, 
1038 DALY ST ,1893.84, 
1039 EDGEMORE RD ,4056.28, 
1040 W ORLEANS ST ,1317.98, 
1041 S FRAZIER ST ,2262.2, 
1041 W MONMOUTH ST ,1367.22, 
1043 N 46TH ST ,3094.61, 
1047 S 52ND ST ,12381.99, 
1048 E CHELTEN AVE ,10855.79, 
106 BETHLEHEM PK ,71315.02, 
106 MEEHAN AVE ,1780.03, 
106 N YEWDALL ST ,2645.36, 
106 S 62ND ST ,350.55, 
1065 E ERIE AVE ,22615.07, 
107 N 50TH ST ,12336.86, 
107 N PEACH ST ,4005.58, 
108 S 55TH ST ,3021.9, 
108 W ASHDALE ST ,11458.46, 
108 W HUNTINGDON ST ,2991.03, 
109 CARPENTER LN ,2982.67, 
10915 MODENA DR ,121.69, 
11 N LINDENWOOD ST ,4141, 
11 SOLAR WAY ,1794.49, 
11 W RITTENHOUSE ST ,2494.23, 
110 CHESTNUT ST ,59864.52, 
110 HERMAN ST ,5637.89, 
110 N 51ST ST ,2096.68, 
110 S 51ST ST ,0, 
110 S 55TH ST ,3277.09, 
110 W WISHART ST ,6170.92, 
1100 S 52ND ST ,478.6, 
1100 S BROAD ST 210A,15.74, 
1100 VINE ST 1001,28.38, 
1101 S 52ND ST ,554.72, 
1103 S 52ND ST ,6716.78, 
1103 W NEVADA ST ,1564.32, 
1105 S 52ND ST ,4760.46, 
1108 CROSS ST ,5257.31, 
1109 W WINGOHOCKING ST ,9454.61, 
111 MEEHAN AVE ,7787.56, 
111 W GORGAS LN ,12205.18, 
1110 S 52ND ST ,478.6, 
1110 UNION ST ,903.83, 
1111 W NEVADA ST ,512.7, 
1112 ARROTT ST ,0, 
1112 VERNON RD ,21651.72, 
1112 W SOMERSET ST ,1269.25, 
1113 W NEVADA ST ,989.44, 
1115 W CUMBERLAND ST ,1437.73, 
1117 W TIOGA ST ,0, 
1117 W WYOMING AVE ,2682.61, 
1117 WINDRIM AVE ,10896.76, 
1118 DIVINITY ST ,9101.95, 
1119 ROY ST ,1560.38, 
112 E ALLEN ST ,4436.43, 
112 N 59TH ST ,7168.46, 
112 N SICKELS ST ,5757.41, 
112 S 53RD ST ,4616.89, 
1120 S CLIFTON ST ,7776.97, 
1121 BRILL ST ,15813.56, 
1121 JEFFERSON ST ,14202.22, 
1121 N 40TH ST ,3987.93, 
1122 W SOMERSET ST ,1273.25, 
1125 E STAFFORD ST ,13349.07, 
1125 S 52ND ST ,919.86, 
1125 W ONTARIO ST ,2227.85, 
1126 GLENN ST ,44276.47, 
1128 DIVINITY ST ,9119.61, 
1128 S WILTON ST ,11574.9, 
113 E COURTLAND ST ,2043.94, 
113 W LOGAN ST ,15446.08, 
1130 CARPENTER ST ,1865.45, 
1130 E PRICE ST ,7103.42, 
1130 E TIOGA ST ,1154.82, 
1131 E STAFFORD ST ,8120.02, 
1131 W SOMERSET ST ,2079.6, 
1132 S 54TH ST ,7171.62, 
1132 S 56TH ST ,14350.76, 
1134 S 52ND ST ,532.2, 
1135 CARPENTER ST ,14705.46, 
1135 S 52ND ST ,895.53, 
1135 W WINGOHOCKING ST ,4686.64, 
1136 S 52ND ST ,101.41, 
1137 RISING SUN AVE ,8203.56, 
1138 S 22ND ST ,2335.45, 
1138 S 52ND ST ,2505.78, 
1138 W TIOGA ST ,1265.99, 
1138 W VENANGO ST ,5524.35, 
114 E TIOGA ST ,4796.61, 
114 N 62ND ST ,3774.98, 
114 N EDGEWOOD ST ,3410.81, 
114 NAUDAIN ST A,5904.28, 
114 S 60TH ST ,767.78, 
114 W ASHDALE ST ,6613.76, 
1141 N 63RD ST ,20080.47, 
1141 S 52ND ST ,956.25, 
1142 MIFFLIN ST ,3877.19, 
1143 COBBS CREEK PKY ,516.07, 
1143 S 26TH ST ,2850.2, 
1143 S MOLE ST ,1501.16, 
1144 S 19TH ST ,9579.63, 
1145 W OAKDALE ST ,1248.62, 
1147 N 04TH ST ROOFTOP,128.91, 
115 FARSON ST ,5324.85, 
115 N MILLICK ST ,3621.01, 
115 S CECIL ST ,2151.82, 
1152 S 52ND ST ,1016.96, 
1154 E STAFFORD ST ,1031.34, 
