APPLICATION NUMBER,TYPE,YEAR ISSUED,PRINCIPAL DUE,ADDRESS, 
   355203,PERMIT,2013,1424.45,219 W GIRARD AVE , 
   540233,LICENSE,2013,10845.25,1317 S JUNIPER ST , 
   540234,LICENSE,2013,10845.25,1317 S JUNIPER ST , 
   540235,LICENSE,2013,10845.25,1317 S JUNIPER ST , 
   540236,LICENSE,2013,10845.25,1317 S JUNIPER ST , 
   540258,LICENSE,2013,6768.22,3956 N 05TH ST , 
   540292,LICENSE,2013,1458.03,2914 W CLEMENTINE ST , 
   540339,LICENSE,2013,173.75,6620 WALKER ST , 
   355028,PERMIT,2012,2155.61,6727 N BROAD ST , 
   355042,PERMIT,2012,8137.64,8236 PICKERING AVE , 
   539839,LICENSE,2012,9873.08,4565 TORRESDALE AVE , 
   539883,LICENSE,2012,9873.08,4565 TORRESDALE AVE , 
   539950,LICENSE,2012,9873.08,4565 TORRESDALE AVE , 
   539959,LICENSE,2012,9873.08,4565 TORRESDALE AVE , 
   540018,LICENSE,2012,1700.01,2611 N 33RD ST , 
   540026,LICENSE,2012,1700.01,2611 N 33RD ST , 
   540046,LICENSE,2012,2192.31,1233 N 50TH ST , 
   540137,LICENSE,2012,4922.21,426 W GIRARD AVE , 
   540144,LICENSE,2012,3738.8,428 W GIRARD AVE , 
   540157,LICENSE,2012,3361.66,4041 W GIRARD AVE , 
     3181,LICENSE,2011,11690.24,552 E WASHINGTON LN , 
    34895,LICENSE,2011,6683.69,2143 N 18TH ST , 
    34936,PERMIT,2011,2554.48,226 ELLSWORTH ST , 
    35203,LICENSE,2011,4806.64,5231 MARKET ST , 
    37149,LICENSE,2011,25,2124 S 64TH ST , 
    50944,LICENSE,2011,55203.26,5600 GERMANTOWN AVE , 
    55142,LICENSE,2011,3923.73,6554 N LAMBERT ST , 
    70633,LICENSE,2011,0,1524 SANSOM ST , 
    71472,LICENSE,2011,1184.22,2848 S 17TH ST , 
    77339,LICENSE,2011,87.18,2065 MERCY ST , 
    83733,LICENSE,2011,10924.38,3900 N 06TH ST , 
    91387,LICENSE,2011,2478.23,2351 N LEITHGOW ST , 
    93314,LICENSE,2011,1345.65,3101 ARBOR ST , 
   149545,PERMIT,2011,2189.46,1323 N DOVER ST , 
   183748,LICENSE,2011,16446.96,3801 LANCASTER AVE , 
   183748,LICENSE,2011,16446.96,3801 LANCASTER WLK , 
   201342,PERMIT,2011,0,2032 N HOWARD ST , 
   219334,PERMIT,2011,4548.96,4529 WAYNE AVE , 
   245317,PERMIT,2011,197.37,2552 SALMON ST , 
   246912,PERMIT,2011,1725.6,3121 N CARLISLE ST , 
   247689,PERMIT,2011,6150.29,162 E WALNUT LN , 
   251902,PERMIT,2011,4548.96,4529 WAYNE AVE , 
   253491,PERMIT,2011,6825.75,4117 TYSON AVE , 
   264581,PERMIT,2011,0,5035 N 17TH ST , 
   273125,PERMIT,2011,24663.96,2101 W TIOGA ST , 
